"ie","ra","exp"
"Extrovert","7","10"
"Extrovert","6","7"
"Extrovert","8","10"
"Extrovert","7","9"
"Introvert","9","9"
"Introvert","9","10"
"Introvert","10","10"
"Introvert","7","10"
"Extrovert","7","7"
"Extrovert","7","9"
"Extrovert","7","6"
"Extrovert","8","9"
"Introvert","7","5"
"Introvert","7","8"
"Introvert","7","9"
"Introvert","9","9"
"Extrovert","7","7"
"Extrovert","9","7"
"Introvert","7","5"
"Extrovert","8","7"
"Extrovert","8","10"
"Introvert","8","10"
"Introvert","10","10"
"Introvert","8","9"
"Extrovert","8","8"
"Introvert","8","8"
"Introvert","8","7"
"Introvert","9","8"
"Extrovert","9","10"
"Extrovert","7","8"
"Introvert","8","8"
